,TYPE_VEHICULE,PLACA,DATE_TIME,SPEED,MONTH,DAY
0,CAR,AKI357,2022-02-28 23:46:13,77,2,28
1,CAR,ASE580,2021-12-31 22:09:06,20,12,31
2,CAR,AUQ197,2022-03-31 22:30:52,99,3,31
3,CAR,BBD264,2022-04-30 23:58:52,91,4,30
4,CAR,BGP295,2021-12-31 12:20:55,62,12,31
5,CAR,BLW644,2021-09-30 22:20:40,57,9,30
6,CAR,BMK179,2022-03-31 20:50:35,96,3,31
7,CAR,BOP256,2022-02-28 22:12:08,68,2,28
8,CAR,BSJ654,2022-04-30 22:27:43,84,4,30
9,CAR,BWN843,2021-12-31 22:07:11,99,12,31
10,CAR,BZN346,2021-11-30 22:05:51,99,11,30
11,CAR,CAT042,2022-02-27 18:00:00,11,2,27
12,CAR,CAT320,2022-04-30 22:49:26,4,4,30
13,CAR,CBD063,2021-12-31 19:55:39,70,12,31
14,CAR,CGP865,2021-10-31 23:45:23,99,10,31
15,CAR,CIS450,2022-04-30 18:36:35,99,4,30
16,CAR,CJJ699,2022-01-27 08:56:32,99,1,27
17,CAR,CKU589,2022-02-24 11:09:37,10,2,24
18,CAR,CKZ908,2022-03-31 23:58:38,99,3,31
19,CAR,CLG862,2021-09-30 23:51:51,23,9,30
20,CAR,CLG922,2021-06-29 20:34:30,0,6,29
21,CAR,COD261,2021-11-30 22:31:01,70,11,30
22,CAR,CXB319,2021-08-31 22:21:29,99,8,31
23,CAR,CXM269,2021-12-31 22:41:48,63,12,31
24,CAR,CZU601,2022-04-26 21:33:48,75,4,26
25,CAR,DBH461,2022-03-31 18:57:11,155,3,31
26,CAR,DBO297,2022-02-28 22:24:47,116,2,28
27,CAR,DHR550,2021-10-21 16:45:55,99,10,21
28,CAR,DJQ240,2021-11-30 22:46:47,99,11,30
29,CAR,DJV360,2021-07-31 18:22:59,98,7,31
30,CAR,DOL723,2021-12-31 22:04:40,99,12,31
31,CAR,DOR938,2021-09-02 15:48:15,53,9,2
32,CAR,DQS465,2022-04-30 22:55:32,99,4,30
33,CAR,DSQ104,2022-03-01 15:35:49,,3,1
34,CAR,DVK063,2022-01-31 23:51:07,94,1,31
35,CAR,DVK086,2022-02-22 02:01:11,74,2,22
36,CAR,EBQ275,2021-06-30 22:15:59,99,6,30
37,CAR,EIR779,2021-08-31 21:34:45,99,8,31
38,CAR,EIV643,2021-11-30 13:37:37,67,11,30
39,CAR,EIV661,2021-04-13 09:45:47,8,4,13
40,CAR,ELP882,2021-12-20 14:58:57,99,12,20
41,CAR,EML554,2021-12-31 23:56:13,81,12,31
42,CAR,EOP265,2021-09-28 10:38:29,0,9,28
43,CAR,EOP304,2022-03-31 22:55:51,99,3,31
44,CAR,EPB379,2022-02-28 22:38:54,108,2,28
45,CAR,EPB383,2022-01-24 20:58:08,97,1,24
46,CAR,EQP016,2021-11-30 22:00:33,99,11,30
47,CAR,EQP017,2021-12-31 22:51:29,90,12,31
48,CAR,EQP473,2021-11-30 22:54:43,105,11,30
49,CAR,EQP558,2021-06-30 22:22:40,88,6,30
50,CAR,EQP982,2021-12-31 22:44:49,111,12,31
51,CAR,EQQ533,2021-08-31 23:59:18,160,8,31
52,CAR,EQQ745,2022-04-30 22:27:03,119,4,30
53,CAR,EQQ981,2021-11-30 22:22:35,214,11,30
54,CAR,EQQ983,2021-10-31 22:51:56,73,10,31
55,CAR,EQR066,2021-04-30 22:44:47,75,4,30
56,CAR,EQR115,2022-02-28 22:55:38,92,2,28
57,CAR,EQT378,2021-05-31 22:00:17,90,5,31
58,CAR,EQW684,2022-03-31 23:58:54,99,3,31
59,CAR,EQW858,2022-02-28 22:03:13,103,2,28
60,CAR,EQW939,2022-01-31 13:33:49,109,1,31
61,CAR,EQY626,2021-12-31 22:51:04,141,12,31
62,CAR,EQZ484,2022-04-30 22:09:17,79,4,30
63,CAR,EQZ991,2021-10-31 22:10:08,238,10,31
64,CAR,EQZ993,2022-03-31 22:49:57,92,3,31
65,CAR,ERK146,2021-11-30 23:28:49,58,11,30
66,CAR,ERK215,2021-06-30 22:44:58,76,6,30
67,CAR,ERK369,2021-12-31 21:05:29,83,12,31
68,CAR,ERL123,2021-08-31 23:00:38,66,8,31
69,CAR,ESK868,2021-09-30 22:31:48,93,9,30
70,CAR,ESL503,2021-05-31 20:23:19,0,5,31
71,CAR,ESL689,2022-02-28 21:28:36,64,2,28
72,CAR,ESL694,2022-03-31 22:22:24,78,3,31
73,CAR,ESL695,2022-01-31 22:48:56,63,1,31
74,CAR,ESL698,2022-04-30 22:16:27,91,4,30
75,CAR,ESM218,2021-11-30 22:19:12,84,11,30
76,CAR,ESM220,2021-12-31 22:50:48,94,12,31
77,CAR,ESM361,2021-10-31 22:15:35,92,10,31
78,CAR,ESM364,2022-04-29 16:20:03,89,4,29
