,MONTH,TYPE_VEHICULE,PLACA,SPEED
0,Jan,CAR,BOP256,67
1,Jan,CAR,CAT320,4
2,Jan,CAR,CJJ699,99
3,Jan,CAR,DBO297,116
4,Jan,CAR,DVK063,94
5,Jan,CAR,EPB383,97
6,Jan,CAR,EQR115,71
7,Jan,CAR,EQW939,109
8,Jan,CAR,ESL695,63
9,Jan,CAR,ESM611,97
10,Jan,CAR,ESQ056,88
11,Jan,CAR,ETM406,107
12,Jan,CAR,ETT120,96
13,Jan,CAR,EXX770,93
14,Jan,CAR,EXZ167,79
15,Jan,CAR,FST661,77
16,Jan,CAR,FVK070,119
17,Jan,CAR,FZY704,99
18,Jan,CAR,GDY388,104
19,Jan,CAR,GET923,98
20,Jan,CAR,GEU491,99
21,Jan,CAR,GQU670,59
22,Jan,CAR,GSM133,83
23,Jan,CAR,ICI533,8
24,Jan,CAR,JKU977,99
25,Jan,CAR,JKU978,39
26,Jan,CAR,JOW047,99
27,Jan,CAR,JUY925,84
28,Jan,CAR,KAA162,66
29,Jan,CAR,KEP488,78
30,Jan,CAR,KOK806,81
31,Jan,CAR,LAA116,99
32,Jan,CAR,MMD005,83
33,Jan,CAR,MUS512,94
34,Jan,CAR,OJF147,65
35,Jan,CAR,OMP043,60
36,Jan,CAR,PCF484,75
37,Jan,CAR,RAK446,99
38,Jan,CAR,SAK375,64
39,Jan,CAR,SCT532,93
40,Jan,CAR,SJK500,92
41,Jan,CAR,SKN389,96
42,Jan,CAR,SLH992,99
43,Jan,CAR,SMJ230,91
44,Jan,CAR,SNA217,96
45,Jan,CAR,SNR712,82
46,Jan,CAR,SNZ174,71
47,Jan,CAR,SOD724,83
48,Jan,CAR,SOO380,78
49,Jan,CAR,SOO750,74
50,Jan,CAR,SOP176,87
51,Jan,CAR,SOQ025,93
52,Jan,CAR,SOQ854,0
53,Jan,CAR,SOQ857,117
54,Jan,CAR,SOR715,83
55,Jan,CAR,SPO562,74
56,Jan,CAR,SPY185,76
57,Jan,CAR,SRD798,90
58,Jan,CAR,SSA077,94
59,Jan,CAR,SSZ065,89
60,Jan,CAR,STA126,76
61,Jan,CAR,STU902,104
62,Jan,CAR,SVF364,76
63,Jan,CAR,SWL011,88
64,Jan,CAR,SWP254,6
65,Jan,CAR,SXR759,83
66,Jan,CAR,SXS893,77
67,Jan,CAR,SXZ343,97
68,Jan,CAR,SZL706,88
69,Jan,CAR,SZW594,80
70,Jan,CAR,TAL070,88
71,Jan,CAR,TAL299,58
72,Jan,CAR,TDL640,99
73,Jan,CAR,TFK862,60
74,Jan,CAR,TGN733,85
75,Jan,CAR,TGN976,70
76,Jan,CAR,THY244,88
77,Jan,CAR,TLW572,80
78,Jan,CAR,TRC323,71
79,Jan,CAR,TSY123,93
80,Jan,CAR,TTX194,91
81,Jan,CAR,TZT389,88
82,Jan,CAR,UFZ969,65
83,Jan,CAR,VEC196,70
84,Jan,CAR,VSE281,34
85,Jan,CAR,WCU472,107
86,Jan,CAR,WEQ679,103
87,Jan,CAR,WEQ714,3
88,Jan,CAR,WFI171,97
89,Jan,CAR,WFV822,109
90,Jan,CAR,WGQ328,83
91,Jan,CAR,WGQ743,124
92,Jan,CAR,WGQ797,93
93,Jan,CAR,WGW957,91
94,Jan,CAR,WLS400,101
95,Jan,CAR,WLS718,82
96,Jan,CAR,WNM572,107
97,Jan,CAR,WNN666,68
98,Jan,CAR,WNO474,94
99,Jan,CAR,WNO476,81
100,Jan,CAR,WNU523,98
101,Jan,CAR,WOM317,93
102,Jan,CAR,WOU255,105
103,Jan,CAR,WOU261,114
104,Jan,CAR,WOU733,86
105,Jan,CAR,WOY470,90
106,Jan,CAR,WPP001,75
107,Jan,CAR,XIE458,78
108,Jan,CAR,XMB399,74
109,Jan,CAR,XVP581,86
110,Jan,CAR,XVX681,79
111,Jan,CAR,iuy162,100
112,Jan,CAR,srm373,87
113,Jan,CAR,tmw040,89
114,Jan,CAR,wcx630,97
115,Jan,MOTORCYCLE,AGM04D,90
116,Jan,MOTORCYCLE,GBV37E,85
117,Jan,MOTORCYCLE,IWJ44F,85
118,Jan,MOTORCYCLE,QUS54C,55
119,Jan,MOTORCYCLE,RSZ26F,100
120,Jan,MOTORCYCLE,SCG51F,14
121,Jan,MOTORCYCLE,ZIV30F,80
122,Feb,CAR,AKI357,77
123,Feb,CAR,BOP256,68
124,Feb,CAR,CAT042,11
125,Feb,CAR,CKU589,10
126,Feb,CAR,DBO297,111
127,Feb,CAR,DVK086,74
128,Feb,CAR,EPB379,83
129,Feb,CAR,EQR115,68
130,Feb,CAR,EQW858,103
131,Feb,CAR,ESL689,64
132,Feb,CAR,ESM610,87
133,Feb,CAR,ESQ056,76
134,Feb,CAR,ETT120,89
135,Feb,CAR,EXX770,80
136,Feb,CAR,EXZ121,79
137,Feb,CAR,EXZ567,99
138,Feb,CAR,EXZ568,90
139,Feb,CAR,FSO027,99
140,Feb,CAR,GET396,96
141,Feb,CAR,GET923,91
142,Feb,CAR,GET925,83
143,Feb,CAR,GKX187,99
144,Feb,CAR,GUQ340,108
145,Feb,CAR,GVK192,84
146,Feb,CAR,GWU402,85
147,Feb,CAR,HQM509,0
148,Feb,CAR,IXX274,99
149,Feb,CAR,JKU978,63
150,Feb,CAR,JLX643,76
151,Feb,CAR,JRZ156,97
152,Feb,CAR,JUK158,87
153,Feb,CAR,KAA102,88
154,Feb,CAR,KAA169,93
155,Feb,CAR,KAA190,89
156,Feb,CAR,KAB088,84
157,Feb,CAR,KEY055,99
158,Feb,CAR,KNK887,76
159,Feb,CAR,KOK087,94
160,Feb,CAR,KOK806,92
161,Feb,CAR,KPO661,94
162,Feb,CAR,LAP244,96
163,Feb,CAR,MCN724,117
164,Feb,CAR,MPR071,71
165,Feb,CAR,MUS519,59
166,Feb,CAR,OAH170,13
167,Feb,CAR,OMP020,91
168,Feb,CAR,OOD000,77
169,Feb,CAR,PCL864,86
170,Feb,CAR,QAA125,98
171,Feb,CAR,RAK446,98
172,Feb,CAR,RHQ902,99
173,Feb,CAR,SAK375,66
174,Feb,CAR,SBK952,88
175,Feb,CAR,SCT463,47
176,Feb,CAR,SGX954,64
177,Feb,CAR,SIL685,93
178,Feb,CAR,SKV276,88
179,Feb,CAR,SKY227,73
180,Feb,CAR,SMJ183,96
181,Feb,CAR,SNP439,104
182,Feb,CAR,SOF336,82
183,Feb,CAR,SOP176,64
184,Feb,CAR,SOQ270,83
185,Feb,CAR,SOQ853,83
186,Feb,CAR,SOS889,128
187,Feb,CAR,SPD442,99
188,Feb,CAR,SPL040,87
189,Feb,CAR,SPP211,85
190,Feb,CAR,SPY185,78
191,Feb,CAR,SRD798,80
192,Feb,CAR,SRO231,100
193,Feb,CAR,SST305,84
194,Feb,CAR,SSY843,116
195,Feb,CAR,SSZ286,98
196,Feb,CAR,STA735,72
197,Feb,CAR,SUF254,90
198,Feb,CAR,SVO905,95
199,Feb,CAR,SWP254,6
200,Feb,CAR,SXB850,102
201,Feb,CAR,SXS161,92
202,Feb,CAR,SXT300,76
203,Feb,CAR,SYN433,68
204,Feb,CAR,SZP710,84
205,Feb,CAR,SZW605,90
206,Feb,CAR,SZX021,106
207,Feb,CAR,SZZ397,91
208,Feb,CAR,TAR144,5
209,Feb,CAR,TDL516,101
210,Feb,CAR,TEK900,82
211,Feb,CAR,TFU464,97
212,Feb,CAR,TGW354,40
213,Feb,CAR,THS402,94
214,Feb,CAR,TLL945,89
215,Feb,CAR,TLM029,85
216,Feb,CAR,TLW577,78
217,Feb,CAR,TMZ638,86
218,Feb,CAR,TRL909,86
219,Feb,CAR,TSO105,67
220,Feb,CAR,TSV515,96
221,Feb,CAR,TSY123,72
222,Feb,CAR,TTR007,87
223,Feb,CAR,TTS659,88
224,Feb,CAR,TTV267,93
